phrase	interpretation	concern_level	moderation_action	confidence	status	safety_flag	raw_response
Bro that’s so sick	The term 'Bro that's so sick' is a slang expression that is used to express excitement or approval. It is often used in a casual setting, such as when someone is talking about something that they are passionate about.	0	no action is necessary	0.99999	success	N/A	{ "interpretation": "The term 'Bro that's so sick' is a slang expression that is used to express excitement or approval. It is often used in a casual setting, such as when someone is talking about something that they are passionate about.", "concern_level": 0, "moderation_action": "no action is necessary", "confidence": 0.99999 }
Bruh	Bruh is a slang term that is used to express a wide range of emotions, from surprise and excitement to disappointment and frustration. It can also be used as a general term of address, similar to dude or man. Bruh is often used in online conversations, particularly on social media and gaming platforms.	0	no moderation action is necessary	0.8	success	N/A	{ "interpretation": "Bruh is a slang term that is used to express a wide range of emotions, from surprise and excitement to disappointment and frustration. It can also be used as a general term of address, similar to dude or man. Bruh is often used in online conversations, particularly on social media and gaming platforms.", "concern_level": 0, "moderation_action": "no moderation action is necessary", "confidence": 0.8 }
Let him cook	The phrase “let him cook” is a slang term typically used to express approval or admiration for someone, especially in the context of their skills or abilities. It is often used in a humorous or ironic way, implying that the person in question is unexpectedly good at something.	0	No moderation action is necessary	0.9	success	N/A	{ "interpretation": "The phrase “let him cook” is a slang term typically used to express approval or admiration for someone, especially in the context of their skills or abilities. It is often used in a humorous or ironic way, implying that the person in question is unexpectedly good at something.", "concern_level": 0, "moderation_action": "No moderation action is necessary", "confidence": 0.9 }
That’s so skibidi	'That's so skibidi' is an informal expression that is used to describe something as being either very good or very bad.	0	no moderation action is required	0.5	success	N/A	{ "interpretation": " 'That's so skibidi' is an informal expression that is used to describe something as being either very good or very bad.", "concern_level": 0, "moderation_action": "no moderation action is required", "confidence": 0.5 }
Erm what the sigma	Erm what the sigma is a phrase that means I'm not sure what you're talking about.	0	No moderation action is necessary	0.9	success	N/A	{ "interpretation": "Erm what the sigma is a phrase that means I'm not sure what you're talking about.", "concern_level": 0, "moderation_action": "No moderation action is necessary", "confidence": 0.9 }
Only in Ohio	'Only in Ohio' is a phrase used to describe strange or unusual events or situations that seem to occur only in the U.S. state of Ohio. It is often used humorously or sarcastically to poke fun at Ohio's reputation for being a peculiar or offbeat place.	0	no action necessary	0.8	success	N/A	{ "interpretation": "'Only in Ohio' is a phrase used to describe strange or unusual events or situations that seem to occur only in the U.S. state of Ohio. It is often used humorously or sarcastically to poke fun at Ohio's reputation for being a peculiar or offbeat place.", "concern_level": 0, "moderation_action": "no action necessary", "confidence": 0.8 }
That’s crazy	'That's crazy' is a common idiom used to express disbelief or surprise. It can also be used to describe something that is unusual or bizarre.	0	no action required	0.8	success	N/A	{ "interpretation": "'That's crazy' is a common idiom used to express disbelief or surprise. It can also be used to describe something that is unusual or bizarre.", "concern_level": 0, "moderation_action": "no action required", "confidence": 0.8 }
No cap	'No cap' is a slang term that means 'no lie' or 'for real'. It is often used to emphasize the truthfulness of a statement. For example, someone might say 'I'm not lying, no cap' to assure someone that they are telling the truth.	0	no action needed	1	success	N/A	{ "interpretation": "'No cap' is a slang term that means 'no lie' or 'for real'. It is often used to emphasize the truthfulness of a statement. For example, someone might say 'I'm not lying, no cap' to assure someone that they are telling the truth.", "concern_level": 0, "moderation_action": "no action needed", "confidence": 1 }
That’s very sussy	“That’s very sussy” is a phrase used to express suspicion or distrust of someone or something. It is often used in online gaming or social media contexts. The term “sussy” is derived from the word “suspicious,” which means causing or arousing suspicion.	0	no moderation action is recommended	1.0	success	N/A	{ "interpretation": "“That’s very sussy” is a phrase used to express suspicion or distrust of someone or something. It is often used in online gaming or social media contexts. The term “sussy” is derived from the word “suspicious,” which means causing or arousing suspicion.", "concern_level": 0, "moderation_action": "no moderation action is recommended", "confidence": 1.0 }
Very negative aura	The term 'Very negative aura' is used to describe a person or situation that is perceived to have a negative or harmful energy. It is often used in a spiritual or metaphysical context, and can be used to describe a variety of different feelings or experiences, such as feeling drained, uncomfortable, or unsafe.	0.5	No moderation action is necessary.	0.75	success	N/A	{ "interpretation": "The term 'Very negative aura' is used to describe a person or situation that is perceived to have a negative or harmful energy. It is often used in a spiritual or metaphysical context, and can be used to describe a variety of different feelings or experiences, such as feeling drained, uncomfortable, or unsafe.", "concern_level": 0.5, "moderation_action": "No moderation action is necessary.", "confidence": 0.75 }
You’re looking mad lit	The term "You’re looking mad lit" is a slang phrase that means "You look very good or impressive."	0	no moderation action is necessary	0.8	success	N/A	{ "interpretation": "The term \"You’re looking mad lit\" is a slang phrase that means \"You look very good or impressive.\"", "concern_level": 0, "moderation_action": "no moderation action is necessary", "confidence": 0.8 }
I am mogging everyone in this room	The term "mogging" is used in online gaming communities to describe the act of making another player feel inferior or inadequate. It is often used in a derogatory way, and can be seen as a form of cyberbullying.	0	No moderation action is necessary.	0.5	success	N/A	{ "interpretation": "The term \"mogging\" is used in online gaming communities to describe the act of making another player feel inferior or inadequate. It is often used in a derogatory way, and can be seen as a form of cyberbullying.", "concern_level": 0, "moderation_action": "No moderation action is necessary.", "confidence": 0.5 }
